Namespace(exp_name='exp', model='dgcnn', dataset='nagoya_dataset', batch_size=32, test_batch_size=32, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 2 devices
Train 40, loss: 1.480183, train acc: 0.951389, train avg acc: 0.950396
Valdation 40, loss: 1.857108, validation acc: 0.736301, validation avg acc: 0.728796
Train 41, loss: 1.476447, train acc: 0.950521, train avg acc: 0.948882
Valdation 41, loss: 1.703035, validation acc: 0.797945, validation avg acc: 0.790839
Train 42, loss: 1.487330, train acc: 0.947049, train avg acc: 0.946156
Valdation 42, loss: 1.712203, validation acc: 0.835616, validation avg acc: 0.829722
Train 43, loss: 1.471744, train acc: 0.959201, train avg acc: 0.959142
Valdation 43, loss: 1.800936, validation acc: 0.794521, validation avg acc: 0.791776
Train 44, loss: 1.469544, train acc: 0.957465, train avg acc: 0.956256
Valdation 44, loss: 1.685523, validation acc: 0.839041, validation avg acc: 0.836085
Train 45, loss: 1.449622, train acc: 0.963542, train avg acc: 0.962555
Valdation 45, loss: 1.736374, validation acc: 0.832192, validation avg acc: 0.831384
Train 46, loss: 1.438846, train acc: 0.968750, train avg acc: 0.968228
Valdation 46, loss: 1.715318, validation acc: 0.839041, validation avg acc: 0.834579
Train 47, loss: 1.436388, train acc: 0.968750, train avg acc: 0.967776
Valdation 47, loss: 1.759133, validation acc: 0.832192, validation avg acc: 0.832037
Train 48, loss: 1.457407, train acc: 0.959201, train avg acc: 0.959106
Valdation 48, loss: 1.658703, validation acc: 0.863014, validation avg acc: 0.862685
Train 49, loss: 1.434569, train acc: 0.973958, train avg acc: 0.973405
Valdation 49, loss: 1.728336, validation acc: 0.808219, validation avg acc: 0.812599
Train 50, loss: 1.439620, train acc: 0.973958, train avg acc: 0.973991
Valdation 50, loss: 1.747227, validation acc: 0.791096, validation avg acc: 0.781854
Train 51, loss: 1.425347, train acc: 0.972222, train avg acc: 0.973095
Valdation 51, loss: 1.746253, validation acc: 0.815068, validation avg acc: 0.812496
Train 52, loss: 1.423391, train acc: 0.971354, train avg acc: 0.971182
Valdation 52, loss: 1.744328, validation acc: 0.811644, validation avg acc: 0.801766
Train 53, loss: 1.435726, train acc: 0.967014, train avg acc: 0.966514
Valdation 53, loss: 1.775696, validation acc: 0.780822, validation avg acc: 0.769998
Train 54, loss: 1.438397, train acc: 0.969618, train avg acc: 0.970081
Valdation 54, loss: 1.694189, validation acc: 0.842466, validation avg acc: 0.837582
Train 55, loss: 1.422240, train acc: 0.975694, train avg acc: 0.975164
Valdation 55, loss: 1.637783, validation acc: 0.883562, validation avg acc: 0.881515
Train 56, loss: 1.415791, train acc: 0.974826, train avg acc: 0.975033
Valdation 56, loss: 1.718209, validation acc: 0.832192, validation avg acc: 0.829994
Train 57, loss: 1.415592, train acc: 0.973958, train avg acc: 0.974585
Valdation 57, loss: 1.636586, validation acc: 0.869863, validation avg acc: 0.868962
Train 58, loss: 1.390491, train acc: 0.985243, train avg acc: 0.985544
Valdation 58, loss: 1.867033, validation acc: 0.777397, validation avg acc: 0.769924
Train 59, loss: 1.385487, train acc: 0.985243, train avg acc: 0.985312
Valdation 59, loss: 1.673833, validation acc: 0.863014, validation avg acc: 0.860354
Train 60, loss: 1.405950, train acc: 0.982639, train avg acc: 0.982555
Valdation 60, loss: 1.655718, validation acc: 0.876712, validation avg acc: 0.873553
Train 61, loss: 1.399540, train acc: 0.983507, train avg acc: 0.984618
Valdation 61, loss: 1.615128, validation acc: 0.876712, validation avg acc: 0.872068
Train 62, loss: 1.398294, train acc: 0.982639, train avg acc: 0.983590
Valdation 62, loss: 1.783199, validation acc: 0.780822, validation avg acc: 0.778404
Train 63, loss: 1.390087, train acc: 0.986111, train avg acc: 0.986385
Valdation 63, loss: 1.624989, validation acc: 0.866438, validation avg acc: 0.866649
Train 64, loss: 1.389884, train acc: 0.982639, train avg acc: 0.982247
Valdation 64, loss: 1.650028, validation acc: 0.852740, validation avg acc: 0.851652
Train 65, loss: 1.391724, train acc: 0.982639, train avg acc: 0.982208
Valdation 65, loss: 1.695937, validation acc: 0.852740, validation avg acc: 0.848898
Train 66, loss: 1.372925, train acc: 0.991319, train avg acc: 0.991652
Valdation 66, loss: 1.643283, validation acc: 0.859589, validation avg acc: 0.854896
Train 67, loss: 1.387220, train acc: 0.983507, train avg acc: 0.984353
Valdation 67, loss: 1.771481, validation acc: 0.784247, validation avg acc: 0.778818
Train 68, loss: 1.392310, train acc: 0.980903, train avg acc: 0.980112
Valdation 68, loss: 1.626112, validation acc: 0.869863, validation avg acc: 0.868097
Train 69, loss: 1.368029, train acc: 0.989583, train avg acc: 0.989744
