Namespace(exp_name='exp', model='dgcnn', dataset='nagoya_dataset', batch_size=256, test_batch_size=256, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=2048, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 2 devices
Namespace(exp_name='exp', model='dgcnn', dataset='nagoya_dataset', batch_size=256, test_batch_size=256, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=2048, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 2 devices
Namespace(exp_name='exp', model='dgcnn', dataset='nagoya_dataset', batch_size=128, test_batch_size=128, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=2048, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 2 devices
Namespace(exp_name='exp', model='dgcnn', dataset='nagoya_dataset', batch_size=128, test_batch_size=128, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 2 devices
Train 34, loss: 1.435547, train acc: 0.976562, train avg acc: 0.976158
Valdation 34, loss: 2.217681, validation acc: 0.599315, validation avg acc: 0.603288
Train 35, loss: 1.436837, train acc: 0.973090, train avg acc: 0.972598
Valdation 35, loss: 1.832715, validation acc: 0.777397, validation avg acc: 0.781330
Train 36, loss: 1.432438, train acc: 0.972222, train avg acc: 0.971108
Valdation 36, loss: 1.847798, validation acc: 0.784247, validation avg acc: 0.775980
Train 37, loss: 1.426114, train acc: 0.977431, train avg acc: 0.977678
Valdation 37, loss: 2.046800, validation acc: 0.695205, validation avg acc: 0.678873
Train 38, loss: 1.429000, train acc: 0.973958, train avg acc: 0.972713
Valdation 38, loss: 1.942377, validation acc: 0.746575, validation avg acc: 0.737569
Train 39, loss: 1.423687, train acc: 0.973958, train avg acc: 0.972822
Valdation 39, loss: 1.868963, validation acc: 0.763699, validation avg acc: 0.759281
Train 40, loss: 1.409734, train acc: 0.983507, train avg acc: 0.984183
Valdation 40, loss: 1.842727, validation acc: 0.804795, validation avg acc: 0.802861
Train 41, loss: 1.396760, train acc: 0.988715, train avg acc: 0.988798
Valdation 41, loss: 1.754890, validation acc: 0.804795, validation avg acc: 0.809656
Train 42, loss: 1.394308, train acc: 0.984375, train avg acc: 0.984394
Valdation 42, loss: 1.885618, validation acc: 0.756849, validation avg acc: 0.763861
Train 43, loss: 1.391004, train acc: 0.984375, train avg acc: 0.984101
Valdation 43, loss: 1.931183, validation acc: 0.729452, validation avg acc: 0.710505
Train 44, loss: 1.403182, train acc: 0.978299, train avg acc: 0.978184
Valdation 44, loss: 1.830639, validation acc: 0.756849, validation avg acc: 0.748081
Train 45, loss: 1.399168, train acc: 0.980035, train avg acc: 0.980459
Valdation 45, loss: 1.752828, validation acc: 0.797945, validation avg acc: 0.798693
Train 46, loss: 1.369937, train acc: 0.991319, train avg acc: 0.991432
Valdation 46, loss: 1.793039, validation acc: 0.825342, validation avg acc: 0.821174
Train 47, loss: 1.377450, train acc: 0.986979, train avg acc: 0.987401
Valdation 47, loss: 1.814344, validation acc: 0.794521, validation avg acc: 0.791352
Train 48, loss: 1.380814, train acc: 0.986979, train avg acc: 0.986704
Valdation 48, loss: 1.905680, validation acc: 0.763699, validation avg acc: 0.769247
Train 49, loss: 1.375870, train acc: 0.990451, train avg acc: 0.990947
Valdation 49, loss: 1.805014, validation acc: 0.797945, validation avg acc: 0.798058
Train 50, loss: 1.361589, train acc: 0.990451, train avg acc: 0.990975
Valdation 50, loss: 2.030040, validation acc: 0.688356, validation avg acc: 0.692050
Train 51, loss: 1.373340, train acc: 0.983507, train avg acc: 0.983254
Valdation 51, loss: 1.845460, validation acc: 0.722603, validation avg acc: 0.708741
Train 52, loss: 1.366725, train acc: 0.989583, train avg acc: 0.989557
Valdation 52, loss: 1.721309, validation acc: 0.842466, validation avg acc: 0.840803
Train 53, loss: 1.368843, train acc: 0.989583, train avg acc: 0.990151
Valdation 53, loss: 1.774594, validation acc: 0.808219, validation avg acc: 0.803504
Train 54, loss: 1.356361, train acc: 0.993056, train avg acc: 0.993154
Valdation 54, loss: 1.758503, validation acc: 0.835616, validation avg acc: 0.830372
Train 55, loss: 1.356963, train acc: 0.993056, train avg acc: 0.993490
Valdation 55, loss: 1.698924, validation acc: 0.828767, validation avg acc: 0.826341
Train 56, loss: 1.351402, train acc: 0.992188, train avg acc: 0.992717
Valdation 56, loss: 1.729693, validation acc: 0.825342, validation avg acc: 0.819469
Train 57, loss: 1.356903, train acc: 0.991319, train avg acc: 0.992015
Valdation 57, loss: 1.737492, validation acc: 0.804795, validation avg acc: 0.798313
Train 58, loss: 1.356249, train acc: 0.990451, train avg acc: 0.991041
Valdation 58, loss: 1.727399, validation acc: 0.818493, validation avg acc: 0.817784
Train 59, loss: 1.344152, train acc: 0.992188, train avg acc: 0.992524
Valdation 59, loss: 1.731183, validation acc: 0.821918, validation avg acc: 0.814595
Train 60, loss: 1.351985, train acc: 0.988715, train avg acc: 0.989285
Valdation 60, loss: 1.778378, validation acc: 0.780822, validation avg acc: 0.769124
Train 61, loss: 1.347160, train acc: 0.992188, train avg acc: 0.992588
Valdation 61, loss: 1.713584, validation acc: 0.859589, validation avg acc: 0.859107
Train 62, loss: 1.356244, train acc: 0.991319, train avg acc: 0.991793
Valdation 62, loss: 1.712729, validation acc: 0.818493, validation avg acc: 0.814072
Train 63, loss: 1.354438, train acc: 0.991319, train avg acc: 0.991510
Valdation 63, loss: 1.813647, validation acc: 0.784247, validation avg acc: 0.790448
Train 64, loss: 1.353905, train acc: 0.989583, train avg acc: 0.989965
