Namespace(exp_name='exp', model='dgcnn', dataset='nagoya_dataset', batch_size=32, test_batch_size=32, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 2 devices
Train 40, loss: 1.684810, train acc: 0.856771, train avg acc: 0.853483
Valdation 40, loss: 2.663174, validation acc: 0.469178, validation avg acc: 0.447036
Train 41, loss: 1.679130, train acc: 0.835938, train avg acc: 0.830069
Valdation 41, loss: 2.820547, validation acc: 0.431507, validation avg acc: 0.406829
Train 42, loss: 1.678365, train acc: 0.836806, train avg acc: 0.836110
Valdation 42, loss: 2.515908, validation acc: 0.520548, validation avg acc: 0.490212
Train 43, loss: 1.658734, train acc: 0.854167, train avg acc: 0.853476
Valdation 43, loss: 2.673893, validation acc: 0.476027, validation avg acc: 0.449536
Train 44, loss: 1.697258, train acc: 0.827257, train avg acc: 0.823473
Valdation 44, loss: 2.735037, validation acc: 0.465753, validation avg acc: 0.441123
Train 45, loss: 1.655556, train acc: 0.843750, train avg acc: 0.839522
Valdation 45, loss: 2.606894, validation acc: 0.489726, validation avg acc: 0.470817
Train 46, loss: 1.625557, train acc: 0.875000, train avg acc: 0.871426
Valdation 46, loss: 2.618971, validation acc: 0.503425, validation avg acc: 0.480377
Train 47, loss: 1.620274, train acc: 0.878472, train avg acc: 0.876793
Valdation 47, loss: 2.962800, validation acc: 0.479452, validation avg acc: 0.453365
Train 48, loss: 1.630470, train acc: 0.872396, train avg acc: 0.871263
Valdation 48, loss: 2.696703, validation acc: 0.503425, validation avg acc: 0.481057
Train 49, loss: 1.635093, train acc: 0.865451, train avg acc: 0.862176
Valdation 49, loss: 2.505976, validation acc: 0.558219, validation avg acc: 0.534972
Train 50, loss: 1.642049, train acc: 0.860243, train avg acc: 0.857577
Valdation 50, loss: 2.967066, validation acc: 0.493151, validation avg acc: 0.466524
Train 51, loss: 1.621882, train acc: 0.878472, train avg acc: 0.877666
Valdation 51, loss: 2.937636, validation acc: 0.438356, validation avg acc: 0.415846
Train 52, loss: 1.615507, train acc: 0.881944, train avg acc: 0.881394
Valdation 52, loss: 2.959643, validation acc: 0.434932, validation avg acc: 0.415249
Train 53, loss: 1.638624, train acc: 0.875000, train avg acc: 0.870757
Valdation 53, loss: 2.891665, validation acc: 0.452055, validation avg acc: 0.428370
Train 54, loss: 1.614840, train acc: 0.882812, train avg acc: 0.882143
Valdation 54, loss: 2.318904, validation acc: 0.582192, validation avg acc: 0.569790
Train 55, loss: 1.602784, train acc: 0.870660, train avg acc: 0.868403
Valdation 55, loss: 2.592564, validation acc: 0.530822, validation avg acc: 0.511457
Train 56, loss: 1.626064, train acc: 0.872396, train avg acc: 0.867059
Valdation 56, loss: 2.923407, validation acc: 0.407534, validation avg acc: 0.384628
Train 57, loss: 1.603403, train acc: 0.873264, train avg acc: 0.869802
Valdation 57, loss: 2.590098, validation acc: 0.523973, validation avg acc: 0.506908
Train 58, loss: 1.562428, train acc: 0.907986, train avg acc: 0.905916
Valdation 58, loss: 2.507473, validation acc: 0.575342, validation avg acc: 0.552206
Train 59, loss: 1.573652, train acc: 0.899306, train avg acc: 0.896889
Valdation 59, loss: 2.532388, validation acc: 0.551370, validation avg acc: 0.528244
Train 60, loss: 1.588476, train acc: 0.885417, train avg acc: 0.884045
Valdation 60, loss: 2.497741, validation acc: 0.558219, validation avg acc: 0.533478
Train 61, loss: 1.577894, train acc: 0.894097, train avg acc: 0.891159
Valdation 61, loss: 2.765277, validation acc: 0.493151, validation avg acc: 0.473868
Train 62, loss: 1.581882, train acc: 0.884549, train avg acc: 0.882158
Valdation 62, loss: 2.645338, validation acc: 0.500000, validation avg acc: 0.482394
Train 63, loss: 1.573284, train acc: 0.895833, train avg acc: 0.895455
Valdation 63, loss: 2.722787, validation acc: 0.510274, validation avg acc: 0.485149
Train 64, loss: 1.590850, train acc: 0.889757, train avg acc: 0.885783
Valdation 64, loss: 2.894514, validation acc: 0.496575, validation avg acc: 0.477964
Train 65, loss: 1.571679, train acc: 0.889757, train avg acc: 0.887892
Valdation 65, loss: 2.513081, validation acc: 0.530822, validation avg acc: 0.507405
Train 66, loss: 1.559776, train acc: 0.901042, train avg acc: 0.899172
Valdation 66, loss: 2.572742, validation acc: 0.544521, validation avg acc: 0.518983
Train 67, loss: 1.554833, train acc: 0.914062, train avg acc: 0.911754
Valdation 67, loss: 2.642817, validation acc: 0.547945, validation avg acc: 0.529727
Train 68, loss: 1.555723, train acc: 0.911458, train avg acc: 0.908555
Valdation 68, loss: 3.066002, validation acc: 0.431507, validation avg acc: 0.410858
Train 69, loss: 1.528132, train acc: 0.926215, train avg acc: 0.924256
Valdation 69, loss: 2.784926, validation acc: 0.520548, validation avg acc: 0.495017
Train 70, loss: 1.542752, train acc: 0.904514, train avg acc: 0.902146
Valdation 70, loss: 2.788706, validation acc: 0.506849, validation avg acc: 0.483416
Train 71, loss: 1.546714, train acc: 0.913194, train avg acc: 0.909249
Valdation 71, loss: 2.879876, validation acc: 0.458904, validation avg acc: 0.435177
Train 72, loss: 1.534915, train acc: 0.905382, train avg acc: 0.903987
Valdation 72, loss: 2.711357, validation acc: 0.489726, validation avg acc: 0.464051
Train 73, loss: 1.547260, train acc: 0.905382, train avg acc: 0.902333
Valdation 73, loss: 3.046073, validation acc: 0.465753, validation avg acc: 0.444473
Train 74, loss: 1.545680, train acc: 0.898438, train avg acc: 0.895615
Valdation 74, loss: 2.587169, validation acc: 0.503425, validation avg acc: 0.490183
Train 75, loss: 1.534975, train acc: 0.914931, train avg acc: 0.914782
Valdation 75, loss: 3.034807, validation acc: 0.445205, validation avg acc: 0.426670
Train 76, loss: 1.535372, train acc: 0.910590, train avg acc: 0.907597
Valdation 76, loss: 2.767697, validation acc: 0.506849, validation avg acc: 0.485391
Train 77, loss: 1.516203, train acc: 0.918403, train avg acc: 0.918137
Valdation 77, loss: 3.086887, validation acc: 0.455479, validation avg acc: 0.434114
Train 78, loss: 1.512561, train acc: 0.922743, train avg acc: 0.922352
Valdation 78, loss: 2.716544, validation acc: 0.520548, validation avg acc: 0.496738
Train 79, loss: 1.525085, train acc: 0.921875, train avg acc: 0.920602
Valdation 79, loss: 2.836645, validation acc: 0.479452, validation avg acc: 0.458612
Train 80, loss: 1.518975, train acc: 0.922743, train avg acc: 0.920163
Valdation 80, loss: 2.795940, validation acc: 0.517123, validation avg acc: 0.491027
Train 81, loss: 1.489528, train acc: 0.938368, train avg acc: 0.937641
Valdation 81, loss: 2.891106, validation acc: 0.479452, validation avg acc: 0.451383
Train 82, loss: 1.524424, train acc: 0.914062, train avg acc: 0.912584
Valdation 82, loss: 2.722970, validation acc: 0.537671, validation avg acc: 0.510589
Train 83, loss: 1.497998, train acc: 0.933160, train avg acc: 0.931262
Valdation 83, loss: 2.569820, validation acc: 0.554795, validation avg acc: 0.536470
Train 84, loss: 1.495203, train acc: 0.932292, train avg acc: 0.930314
Valdation 84, loss: 2.740947, validation acc: 0.472603, validation avg acc: 0.452578
Train 85, loss: 1.494131, train acc: 0.934028, train avg acc: 0.932963
Valdation 85, loss: 2.898682, validation acc: 0.465753, validation avg acc: 0.440415
Train 86, loss: 1.497383, train acc: 0.931424, train avg acc: 0.930590
Valdation 86, loss: 2.737696, validation acc: 0.506849, validation avg acc: 0.479616
Train 87, loss: 1.494379, train acc: 0.930556, train avg acc: 0.929334
Valdation 87, loss: 2.346532, validation acc: 0.616438, validation avg acc: 0.591730
Train 88, loss: 1.483171, train acc: 0.935764, train avg acc: 0.936282
