Namespace(exp_name='exp', model='dgcnn', dataset='nagoya_dataset', batch_size=32, test_batch_size=32, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 2 devices
Train 0, loss: 3.552646, train acc: 0.155382, train avg acc: 0.152609
Valdation 0, loss: 5.088847, validation acc: 0.054795, validation avg acc: 0.071429
Train 1, loss: 3.259794, train acc: 0.243924, train avg acc: 0.238870
Valdation 1, loss: 3.317678, validation acc: 0.109589, validation avg acc: 0.106362
Train 2, loss: 2.780985, train acc: 0.324653, train avg acc: 0.319516
Valdation 2, loss: 2.516448, validation acc: 0.445205, validation avg acc: 0.434873
Train 3, loss: 2.551811, train acc: 0.388021, train avg acc: 0.384434
Valdation 3, loss: 2.448923, validation acc: 0.510274, validation avg acc: 0.508952
Train 4, loss: 2.381008, train acc: 0.477431, train avg acc: 0.470903
Valdation 4, loss: 2.330227, validation acc: 0.558219, validation avg acc: 0.553093
Train 5, loss: 2.281796, train acc: 0.514757, train avg acc: 0.509275
Valdation 5, loss: 2.204395, validation acc: 0.578767, validation avg acc: 0.567740
Train 6, loss: 2.203503, train acc: 0.560764, train avg acc: 0.553485
Valdation 6, loss: 2.079743, validation acc: 0.643836, validation avg acc: 0.638455
Train 7, loss: 2.142845, train acc: 0.602431, train avg acc: 0.596023
Valdation 7, loss: 2.153053, validation acc: 0.534247, validation avg acc: 0.538626
Train 8, loss: 2.049263, train acc: 0.666667, train avg acc: 0.661204
Valdation 8, loss: 2.029599, validation acc: 0.719178, validation avg acc: 0.717345
Train 9, loss: 1.994062, train acc: 0.688368, train avg acc: 0.682984
Valdation 9, loss: 1.996975, validation acc: 0.736301, validation avg acc: 0.728833
Train 10, loss: 1.993379, train acc: 0.695312, train avg acc: 0.689807
Valdation 10, loss: 2.033129, validation acc: 0.691781, validation avg acc: 0.674901
Train 11, loss: 1.942601, train acc: 0.710938, train avg acc: 0.706663
Valdation 11, loss: 2.050531, validation acc: 0.667808, validation avg acc: 0.648430
Train 12, loss: 1.904497, train acc: 0.736979, train avg acc: 0.735795
Valdation 12, loss: 2.074535, validation acc: 0.647260, validation avg acc: 0.643906
Train 13, loss: 1.879237, train acc: 0.755208, train avg acc: 0.748504
Valdation 13, loss: 1.824837, validation acc: 0.784247, validation avg acc: 0.790194
Train 14, loss: 1.802404, train acc: 0.795139, train avg acc: 0.791801
Valdation 14, loss: 1.866782, validation acc: 0.715753, validation avg acc: 0.709908
Train 15, loss: 1.810966, train acc: 0.775174, train avg acc: 0.773375
Valdation 15, loss: 1.873837, validation acc: 0.767123, validation avg acc: 0.752759
Train 16, loss: 1.784031, train acc: 0.798611, train avg acc: 0.794808
Valdation 16, loss: 1.768320, validation acc: 0.787671, validation avg acc: 0.777828
Train 17, loss: 1.765066, train acc: 0.815104, train avg acc: 0.813763
Valdation 17, loss: 1.778416, validation acc: 0.801370, validation avg acc: 0.800544
Train 18, loss: 1.696960, train acc: 0.852431, train avg acc: 0.850454
Valdation 18, loss: 1.847020, validation acc: 0.770548, validation avg acc: 0.758613
Train 19, loss: 1.706249, train acc: 0.842882, train avg acc: 0.838213
