Namespace(batch_size=2, dataset='nagoya_dataset', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='exp', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=2, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(batch_size=2, dataset='nagoya_dataset', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='exp', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=2, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(batch_size=2, dataset='nagoya_dataset', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='exp', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=2, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(batch_size=2, dataset='nagoya_dataset', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='exp', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=2, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(batch_size=32, dataset='nagoya_dataset', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='exp', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=32, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(exp_name='exp', model='dgcnn', dataset='nagoya_dataset', batch_size=64, test_batch_size=64, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=2048, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 2 devices
Valdation 30, loss: 1.985360, validation acc: 0.708904, validation avg acc: 0.714217
Train 31, loss: 1.522710, train acc: 0.940972, train avg acc: 0.938620
Valdation 31, loss: 1.959548, validation acc: 0.729452, validation avg acc: 0.719730
Train 32, loss: 1.506360, train acc: 0.947049, train avg acc: 0.947552
Valdation 32, loss: 2.064644, validation acc: 0.630137, validation avg acc: 0.614924
Train 33, loss: 1.525642, train acc: 0.936632, train avg acc: 0.937172
Valdation 33, loss: 2.030744, validation acc: 0.678082, validation avg acc: 0.660572
Train 34, loss: 1.528569, train acc: 0.927083, train avg acc: 0.926034
Valdation 34, loss: 1.907430, validation acc: 0.719178, validation avg acc: 0.719454
Train 35, loss: 1.503068, train acc: 0.940972, train avg acc: 0.940907
Valdation 35, loss: 2.070632, validation acc: 0.664384, validation avg acc: 0.662252
Train 36, loss: 1.488821, train acc: 0.953993, train avg acc: 0.953431
Valdation 36, loss: 1.932842, validation acc: 0.732877, validation avg acc: 0.727027
Train 37, loss: 1.483546, train acc: 0.953993, train avg acc: 0.954304
Valdation 37, loss: 1.909925, validation acc: 0.722603, validation avg acc: 0.718728
Train 38, loss: 1.496743, train acc: 0.945312, train avg acc: 0.945136
Valdation 38, loss: 2.107253, validation acc: 0.657534, validation avg acc: 0.651787
Train 39, loss: 1.492406, train acc: 0.947049, train avg acc: 0.946475
Valdation 39, loss: 1.860082, validation acc: 0.763699, validation avg acc: 0.766369
Train 40, loss: 1.444491, train acc: 0.970486, train avg acc: 0.970225
Valdation 40, loss: 1.789025, validation acc: 0.801370, validation avg acc: 0.794912
Train 41, loss: 1.458534, train acc: 0.960069, train avg acc: 0.958963
Valdation 41, loss: 1.934728, validation acc: 0.767123, validation avg acc: 0.759240
Train 42, loss: 1.471561, train acc: 0.956597, train avg acc: 0.955757
Valdation 42, loss: 1.975163, validation acc: 0.729452, validation avg acc: 0.727012
Train 43, loss: 1.450596, train acc: 0.965278, train avg acc: 0.964633
Valdation 43, loss: 1.830815, validation acc: 0.784247, validation avg acc: 0.782380
Train 44, loss: 1.446622, train acc: 0.969618, train avg acc: 0.969870
Valdation 44, loss: 1.980752, validation acc: 0.712329, validation avg acc: 0.704869
Train 45, loss: 1.453544, train acc: 0.959201, train avg acc: 0.958681
Valdation 45, loss: 1.798789, validation acc: 0.808219, validation avg acc: 0.805296
