Namespace(exp_name='exp', model='dgcnn', dataset='nagoya_dataset', batch_size=64, test_batch_size=64, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 2 devices
Train 40, loss: 1.428724, train acc: 0.974826, train avg acc: 0.974781
Valdation 40, loss: 1.859580, validation acc: 0.780822, validation avg acc: 0.780221
Train 41, loss: 1.438089, train acc: 0.969618, train avg acc: 0.969447
Valdation 41, loss: 1.729475, validation acc: 0.835616, validation avg acc: 0.833395
Train 42, loss: 1.426674, train acc: 0.965278, train avg acc: 0.965349
Valdation 42, loss: 1.680262, validation acc: 0.832192, validation avg acc: 0.826962
Train 43, loss: 1.433871, train acc: 0.972222, train avg acc: 0.971539
Valdation 43, loss: 1.722054, validation acc: 0.818493, validation avg acc: 0.815690
Train 44, loss: 1.425208, train acc: 0.973090, train avg acc: 0.973742
Valdation 44, loss: 1.730115, validation acc: 0.811644, validation avg acc: 0.812547
Train 45, loss: 1.421067, train acc: 0.977431, train avg acc: 0.977699
Valdation 45, loss: 1.719529, validation acc: 0.825342, validation avg acc: 0.826392
Train 46, loss: 1.425504, train acc: 0.970486, train avg acc: 0.971501
Valdation 46, loss: 1.690503, validation acc: 0.825342, validation avg acc: 0.827592
Train 47, loss: 1.412842, train acc: 0.984375, train avg acc: 0.984846
Valdation 47, loss: 1.648150, validation acc: 0.852740, validation avg acc: 0.858215
Train 48, loss: 1.397840, train acc: 0.980903, train avg acc: 0.980600
Valdation 48, loss: 1.706759, validation acc: 0.815068, validation avg acc: 0.816887
Train 49, loss: 1.387009, train acc: 0.984375, train avg acc: 0.984186
Valdation 49, loss: 1.662399, validation acc: 0.863014, validation avg acc: 0.866359
Train 50, loss: 1.398832, train acc: 0.975694, train avg acc: 0.975560
Valdation 50, loss: 1.851654, validation acc: 0.753425, validation avg acc: 0.750896
Train 51, loss: 1.391986, train acc: 0.979167, train avg acc: 0.979286
Valdation 51, loss: 1.653389, validation acc: 0.863014, validation avg acc: 0.868061
Train 52, loss: 1.388102, train acc: 0.984375, train avg acc: 0.984298
Valdation 52, loss: 1.708956, validation acc: 0.825342, validation avg acc: 0.818689
Train 53, loss: 1.390435, train acc: 0.986111, train avg acc: 0.986440
